step,date,ticker,side,quantity,exec_price,fee,slippage_per_share,order_size_pct,realized_pnl,unrealized_pnl_after,position_shares_after,position_value_after,holding_days,tax_type,cash_after,nav_after
0,2005-01-03,BIL,BUY,27,73.09547469863803,0.3947155633726454,0.03652947261301165,0.09867889084316134,0.0,-0.5555771781681784,27,1973.0222396850586,0,NA,18026.0274675734,19999.04970725846
0,2005-01-03,BSV,BUY,35,50.13734845565753,0.3509614391896027,0.025056146154746273,0.08774035979740068,0.0,-0.1750472053375418,35,1754.632148742676,0,NA,16270.869310186197,19998.52369861393
0,2005-01-03,DGRO,BUY,84,19.27282075038971,0.32378338860654715,0.009631594577903968,0.08094584715163677,0.0,-8.638538796895702,84,1610.2784042358398,0,NA,14651.628583764856,19989.561376428428
0,2005-01-03,EFA,BUY,49,29.69326681607204,0.29099401479750603,0.014839213801135287,0.0727485036993765,0.0,-10.622436811016097,49,1444.347637176514,0,NA,13196.367515762528,19978.647945602614
0,2005-01-03,GLD,BUY,30,43.00148954200744,0.25800893725204466,0.021489999771112878,0.06450223431301116,0.0,0.5553274726869262,30,1290.6000137329102,0,NA,11906.064820565052,19978.94526413805
1,2005-01-04,BNDX,BUY,31,37.210778419691124,0.23070682620208496,0.018596091164262418,0.09688626329481709,0.0,-7.412178953540078,31,1146.1219520568848,0,NA,10752.299982728426,19935.213837327425
1,2005-01-04,GOVT,BUY,54,19.645457010269165,0.212170935710907,0.00981781959533734,0.08910204123214135,0.0,-0.5301622581482164,54,1060.3245162963867,0,NA,9691.23313323818,19934.471504133566
1,2005-01-04,IEFA,BUY,29,33.0451359763878,0.19166178866304923,0.016514310832775436,0.08048914211016076,0.0,-1.8871865708613598,29,956.4217567443848,0,NA,8732.732528134271,19932.39265577404
1,2005-01-04,IJH,BUY,89,9.808627107251791,0.1745935625090819,0.004901862622313402,0.07332127161256116,0.0,-18.5390901638176,89,854.4287223815918,0,NA,7859.590122026352,19913.678972047714
1,2005-01-04,IJR,BUY,38,20.450932280447482,0.15542708533140087,0.010220355962243133,0.06527223212447807,0.0,-18.224064962668244,38,758.911361694336,0,NA,7082.299268284017,19895.299479999714
2,2005-01-05,ITOT,BUY,39,18.06994059795063,0.1409455366640149,0.009030455071439292,0.099505493431489,0.0,-2.4393608713441104,39,702.2883224487305,0,NA,6377.430639427278,19869.05958096323
2,2005-01-05,JEPI,BUY,19,31.890647433812322,0.12118446024848684,0.01593735503938376,0.08555446166414882,0.0,-1.4527654147974083,19,604.4695358276367,0,NA,5771.387153724595,19867.48563108818
2,2005-01-05,JPST,BUY,14,40.071121056625515,0.11219913895855144,0.02002554775443599,0.07921095586923452,0.0,-0.3923699026204872,14,560.6033248901367,0,NA,5210.279259792879,19866.9810620466
2,2005-01-05,MBB,BUY,8,59.07438285865371,0.09451901257384594,0.029522430214214523,0.06672904447650313,0.0,-0.18933166805788915,8,472.4057312011718,0,NA,4737.589677911075,19866.697211365972
2,2005-01-05,MGK,BUY,11,42.276469881920036,0.09300823374022409,0.021127671105404033,0.06566245665213129,0.0,-4.334469329782507,11,460.7066993713379,0,NA,4272.455500976214,19862.269733802448
3,2005-01-06,BIL,BUY,5,73.09547469863803,0.07309547469863803,0.03652947261301165,0.08554269866817388,0.0,-0.6584618407919152,32,2338.396728515625,0,NA,3906.9050320083256,19855.380326121485
3,2005-01-06,BSV,BUY,7,50.13734845565753,0.07019228783792056,0.025056146154746273,0.08214513623592136,0.0,-0.21005664640475175,42,2105.5585784912114,0,NA,3555.873400530885,19855.27512439258
3,2005-01-06,DGRO,SELL,8,19.2535575612339,0.030805692097974242,0.009631594577903968,0.09523809523809523,-0.1541055132464635,-7.815820816238968,76,1456.918556213379,0,NA,3709.8710553286583,19855.91293116789
3,2005-01-06,EFA,BUY,12,28.97220573459938,0.06953329376303852,0.014478863435581246,0.08137392390295327,0.0,-40.170661455066266,61,1762.4658813476562,0,NA,3362.1350532197025,19854.89152866831
3,2005-01-06,GLD,BUY,7,42.50123954200745,0.059501735358810426,0.02123999977111879,0.06963411947206338,0.0,-28.003306596755877,37,1559.5500564575195,0,NA,3064.5668746902916,19852.373360820053
4,2005-01-07,BNDX,BUY,8,37.210778419691124,0.0595372454715058,0.018596091164262418,0.097138107775055,0.0,-9.324999328647195,39,1441.8953590393066,0,NA,2766.821110087291,19818.650716143504
4,2005-01-07,GOVT,BUY,14,19.645457010269165,0.05500727962875367,0.00981781959533734,0.0897472332600227,0.0,-0.6676117324829391,68,1335.2234649658203,0,NA,2491.7297046638937,19818.45825938954
4,2005-01-07,IEFA,BUY,7,33.0451359763878,0.046263190366942916,0.016514310832775436,0.07548079754601264,0.0,-2.342714363827895,36,1187.2821807861328,0,NA,2260.367489638812,19817.956468406206
4,2005-01-07,IJH,BUY,23,9.57295349092855,0.04403558605827133,0.0047840847031128675,0.07184634543620722,0.0,-27.95981449203927,112,1065.1859283447268,0,NA,2040.145523761397,19816.478041385297
4,2005-01-07,IJR,BUY,10,19.661907413350868,0.03932381482670173,0.009826040686331083,0.06415884598810695,0.0,-36.80427496043484,48,936.9502258300781,0,NA,1843.4871258130618,19815.017607151563
5,2005-01-10,ITOT,BUY,10,18.031946202318125,0.03606389240463625,0.00901146736747549,0.09781433214167533,0.0,0.4451775784970913,49,885.4923229217529,0,NA,1663.131599897476,19844.126566404433
5,2005-01-10,JEPI,BUY,5,31.890647433812322,0.03189064743381233,0.01593735503938376,0.08649544384462977,0.0,-1.8350721029019894,24,763.5404663085938,0,NA,1503.6464720809806,19843.712369068897
